natural_query	sql_query	result	from_to_where	after_froM	after_from
How many away games did the Miami Heat play in the 2020 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Miami Heat' AND season_id = '22020';	36.0	game	game	game
How many home games did the Los Angeles Lakers play in the 2018 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Los Angeles Lakers' AND season_id = '22018';	41.0	game	game	game
How many away games did the Boston Celtics play in the 2018 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Boston Celtics' AND season_id = '22018';	41.0	game	game	game
What is the average number of tov in home games by the Miami Heat?	SELECT AVG(tov_home) FROM game WHERE team_name_home = 'Miami Heat';	14.627184466019418	game	game	game
What is the average number of ast in away games by the Los Angeles Lakers?	SELECT AVG(ast_away) FROM game WHERE team_name_away = 'Los Angeles Lakers';	22.594638949671772	game	game	game
How many home games did the Milwaukee Bucks play in the 2019 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Milwaukee Bucks' AND season_id = '22019';	35.0	game	game	game
In which season did the Dallas Mavericks have the highest average reb at home?	SELECT season_id, AVG(reb_home) as avg_stat FROM game WHERE team_name_home = 'Dallas Mavericks' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	2021.0	game	game	game
In which season did the Chicago Bulls have the highest average ft_pct at home?	SELECT season_id, AVG(ft_pct_home) as avg_stat FROM game WHERE team_name_home = 'Chicago Bulls' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	2016.0	game	game	game
How many away games did the Golden State Warriors play in the 2007 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Golden State Warriors' AND season_id = '22007';	41.0	game	game	game
What is the highest combined reb in any game involving the Chicago Bulls?	SELECT MAX(reb_home + reb_away) FROM game WHERE team_name_home = 'Chicago Bulls' OR team_name_away = 'Chicago Bulls';	129.0	game	game	game
What is the average number of ft_pct in home games by the Milwaukee Bucks?	SELECT AVG(ft_pct_home) FROM game WHERE team_name_home = 'Milwaukee Bucks';	0.7571402574345323	game	game	game
What is the average number of pts in home games by the Los Angeles Lakers?	SELECT AVG(pts_home) FROM game WHERE team_name_home = 'Los Angeles Lakers';	109.71476888387824	game	game	game
What is the average number of pts in home games by the Houston Rockets?	SELECT AVG(pts_home) FROM game WHERE team_name_home = 'Houston Rockets';	105.8650391524643	game	game	game
In which season did the Chicago Bulls have the highest average pts at home?	SELECT season_id, AVG(pts_home) as avg_stat FROM game WHERE team_name_home = 'Chicago Bulls' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	2022.0	game	game	game
In which season did the Cleveland Cavaliers have the highest average reb at home?	SELECT season_id, AVG(reb_home) as avg_stat FROM game WHERE team_name_home = 'Cleveland Cavaliers' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	1984.0	game	game	game
What is the highest combined reb in any game involving the Los Angeles Lakers?	SELECT MAX(reb_home + reb_away) FROM game WHERE team_name_home = 'Los Angeles Lakers' OR team_name_away = 'Los Angeles Lakers';	135.0	game	game	game
What is the highest combined tov in any game involving the Boston Celtics?	SELECT MAX(tov_home + tov_away) FROM game WHERE team_name_home = 'Boston Celtics' OR team_name_away = 'Boston Celtics';	66.0	game	game	game
How many home games did the Los Angeles Lakers play in the 2020 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Los Angeles Lakers' AND season_id = '22020';	36.0	game	game	game
In which season did the Sacramento Kings have the highest average reb at home?	SELECT season_id, AVG(reb_home) as avg_stat FROM game WHERE team_name_home = 'Sacramento Kings' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	2022.0	game	game	game
In which season did the Boston Celtics have the highest average reb at home?	SELECT season_id, AVG(reb_home) as avg_stat FROM game WHERE team_name_home = 'Boston Celtics' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	1958.0	game	game	game
What is the average number of fg_pct in away games by the Los Angeles Lakers?	SELECT AVG(fg_pct_away) FROM game WHERE team_name_away = 'Los Angeles Lakers';	0.4678996728462382	game	game	game
What is the highest combined ft_pct in any game involving the Chicago Bulls?	SELECT MAX(ft_pct_home + ft_pct_away) FROM game WHERE team_name_home = 'Chicago Bulls' OR team_name_away = 'Chicago Bulls';	1.929	game	game	game
What is the average number of ft_pct in home games by the Miami Heat?	SELECT AVG(ft_pct_home) FROM game WHERE team_name_home = 'Miami Heat';	0.7464038834951452	game	game	game
What is the average number of ft_pct in home games by the Golden State Warriors?	SELECT AVG(ft_pct_home) FROM game WHERE team_name_home = 'Golden State Warriors';	0.7540829836829825	game	game	game
What is the average number of tov in home games by the Charlotte Hornets?	SELECT AVG(tov_home) FROM game WHERE team_name_home = 'Charlotte Hornets';	14.0927291886196	game	game	game
In which season did the Charlotte Hornets have the highest average pts at home?	SELECT season_id, AVG(pts_home) as avg_stat FROM game WHERE team_name_home = 'Charlotte Hornets' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	2021.0	game	game	game
What is the average number of ast in away games by the Golden State Warriors?	SELECT AVG(ast_away) FROM game WHERE team_name_away = 'Golden State Warriors';	22.833996588971008	game	game	game
What is the average number of ft_pct in away games by the Miami Heat?	SELECT AVG(ft_pct_away) FROM game WHERE team_name_away = 'Miami Heat';	0.7408833551769328	game	game	game
In which season did the Milwaukee Bucks have the highest average ft_pct at home?	SELECT season_id, AVG(ft_pct_home) as avg_stat FROM game WHERE team_name_home = 'Milwaukee Bucks' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	2009.0	game	game	game
What is the highest combined pts in any game involving the Boston Celtics?	SELECT MAX(pts_home + pts_away) FROM game WHERE team_name_home = 'Boston Celtics' OR team_name_away = 'Boston Celtics';	312.0	game	game	game
What is the average number of reb in home games by the Golden State Warriors?	SELECT AVG(reb_home) FROM game WHERE team_name_home = 'Golden State Warriors';	44.818285714285715	game	game	game
How many home games did the Golden State Warriors play in the 1999 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Golden State Warriors' AND season_id = '21999';	41.0	game	game	game
How many home games did the Golden State Warriors play in the 2022 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Golden State Warriors' AND season_id = '22022';	41.0	game	game	game
What is the average number of pts in away games by the Milwaukee Bucks?	SELECT AVG(pts_away) FROM game WHERE team_name_away = 'Milwaukee Bucks';	102.9162605228179	game	game	game
In which season did the Golden State Warriors have the highest average pts at home?	SELECT season_id, AVG(pts_home) as avg_stat FROM game WHERE team_name_home = 'Golden State Warriors' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	1989.0	game	game	game
How many away games did the Golden State Warriors play in the 2011 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Golden State Warriors' AND season_id = '22011';	33.0	game	game	game
How many away games did the Golden State Warriors play in the 2019 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Golden State Warriors' AND season_id = '22019';	31.0	game	game	game
How many home games did the Los Angeles Lakers play in the 2021 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Los Angeles Lakers' AND season_id = '22021';	41.0	game	game	game
What is the average number of tov in away games by the Los Angeles Lakers?	SELECT AVG(tov_away) FROM game WHERE team_name_away = 'Los Angeles Lakers';	14.554896142433234	game	game	game
What is the average number of ast in home games by the Chicago Bulls?	SELECT AVG(ast_home) FROM game WHERE team_name_home = 'Chicago Bulls';	24.980609418282548	game	game	game
What is the highest combined ast in any game involving the Boston Celtics?	SELECT MAX(ast_home + ast_away) FROM game WHERE team_name_home = 'Boston Celtics' OR team_name_away = 'Boston Celtics';	79.0	game	game	game
In which season did the Milwaukee Bucks have the highest average ast at home?	SELECT season_id, AVG(ast_home) as avg_stat FROM game WHERE team_name_home = 'Milwaukee Bucks' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	1981.0	game	game	game
In which season did the Charlotte Hornets have the highest average reb at home?	SELECT season_id, AVG(reb_home) as avg_stat FROM game WHERE team_name_home = 'Charlotte Hornets' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	2017.0	game	game	game
How many away games did the Golden State Warriors play in the 2022 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Golden State Warriors' AND season_id = '22022';	41.0	game	game	game
What is the highest combined ft_pct in any game involving the Sacramento Kings?	SELECT MAX(ft_pct_home + ft_pct_away) FROM game WHERE team_name_home = 'Sacramento Kings' OR team_name_away = 'Sacramento Kings';	1.947	game	game	game
What is the highest combined ft_pct in any game involving the Miami Heat?	SELECT MAX(ft_pct_home + ft_pct_away) FROM game WHERE team_name_home = 'Miami Heat' OR team_name_away = 'Miami Heat';	1.913	game	game	game
What is the average number of pts in away games by the Miami Heat?	SELECT AVG(pts_away) FROM game WHERE team_name_away = 'Miami Heat';	96.7824377457405	game	game	game
What is the average number of tov in away games by the Miami Heat?	SELECT AVG(tov_away) FROM game WHERE team_name_away = 'Miami Heat';	15.235255570117957	game	game	game
What is the highest combined fg_pct in any game involving the Miami Heat?	SELECT MAX(fg_pct_home + fg_pct_away) FROM game WHERE team_name_home = 'Miami Heat' OR team_name_away = 'Miami Heat';	1.1949999999999998	game	game	game
What is the average number of pts in home games by the Chicago Bulls?	SELECT AVG(pts_home) FROM game WHERE team_name_home = 'Chicago Bulls';	103.32684824902724	game	game	game
What is the average number of ft_pct in home games by the Charlotte Hornets?	SELECT AVG(ft_pct_home) FROM game WHERE team_name_home = 'Charlotte Hornets';	0.7601475237091683	game	game	game
What is the average number of tov in home games by the Boston Celtics?	SELECT AVG(tov_home) FROM game WHERE team_name_home = 'Boston Celtics';	14.788121073672189	game	game	game
How many home games did the Golden State Warriors play in the 2018 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Golden State Warriors' AND season_id = '22018';	41.0	game	game	game
In which season did the Chicago Bulls have the highest average ast at home?	SELECT season_id, AVG(ast_home) as avg_stat FROM game WHERE team_name_home = 'Chicago Bulls' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	2021.0	game	game	game
What is the highest combined fg_pct in any game involving the Charlotte Hornets?	SELECT MAX(fg_pct_home + fg_pct_away) FROM game WHERE team_name_home = 'Charlotte Hornets' OR team_name_away = 'Charlotte Hornets';	1.233	game	game	game
How many away games did the Chicago Bulls play in the 2011 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Chicago Bulls' AND season_id = '22011';	33.0	game	game	game
How many away games did the Golden State Warriors play in the 2020 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Golden State Warriors' AND season_id = '22020';	36.0	game	game	game
What is the highest combined fg_pct in any game involving the Detroit Pistons?	SELECT MAX(fg_pct_home + fg_pct_away) FROM game WHERE team_name_home = 'Detroit Pistons' OR team_name_away = 'Detroit Pistons';	1.217	game	game	game
How many away games did the Miami Heat play in the 2021 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Miami Heat' AND season_id = '22021';	41.0	game	game	game
How many away games did the Detroit Pistons play in the 2021 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Detroit Pistons' AND season_id = '22021';	41.0	game	game	game
What is the average number of reb in away games by the Detroit Pistons?	SELECT AVG(reb_away) FROM game WHERE team_name_away = 'Detroit Pistons';	42.10948081264108	game	game	game
What is the average number of reb in away games by the Milwaukee Bucks?	SELECT AVG(reb_away) FROM game WHERE team_name_away = 'Milwaukee Bucks';	41.71580122836404	game	game	game
What is the average number of tov in home games by the Milwaukee Bucks?	SELECT AVG(tov_home) FROM game WHERE team_name_home = 'Milwaukee Bucks';	14.664838513101769	game	game	game
What is the average number of ast in away games by the Milwaukee Bucks?	SELECT AVG(ast_away) FROM game WHERE team_name_away = 'Milwaukee Bucks';	22.16927374301676	game	game	game
How many away games did the Chicago Bulls play in the 2019 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Chicago Bulls' AND season_id = '22019';	31.0	game	game	game
How many away games did the Chicago Bulls play in the 2014 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Chicago Bulls' AND season_id = '22014';	41.0	game	game	game
How many away games did the Los Angeles Lakers play in the 2007 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Los Angeles Lakers' AND season_id = '22007';	41.0	game	game	game
How many away games did the Los Angeles Lakers play in the 2019 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Los Angeles Lakers' AND season_id = '22019';	36.0	game	game	game
How many away games did the Los Angeles Lakers play in the 2009 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Los Angeles Lakers' AND season_id = '22009';	41.0	game	game	game
In which season did the Detroit Pistons have the highest average ft_pct at home?	SELECT season_id, AVG(ft_pct_home) as avg_stat FROM game WHERE team_name_home = 'Detroit Pistons' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	2021.0	game	game	game
What is the highest combined pts in any game involving the Milwaukee Bucks?	SELECT MAX(pts_home + pts_away) FROM game WHERE team_name_home = 'Cleveland Cavaliers' OR team_name_away = 'Cleveland Cavaliers';	307.0	game	game	game
How many home games did the Los Angeles Lakers play in the 2022 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Los Angeles Lakers' AND season_id = '22022';	41.0	game	game	game
What is the highest combined pts in any game involving the Milwaukee Bucks?	SELECT MAX(pts_home + pts_away) FROM game WHERE team_name_home = 'Milwaukee Bucks' OR team_name_away = 'Milwaukee Bucks';	337.0	game	game	game
How many away games did the Chicago Bulls play in the 2020 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Chicago Bulls' AND season_id = '22020';	36.0	game	game	game
In which season did the Golden State Warriors have the highest average fg_pct at home?	SELECT season_id, AVG(fg_pct_home) as avg_stat FROM game WHERE team_name_home = 'Golden State Warriors' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	1981.0	game	game	game
How many away games did the Chicago Bulls play in the 2001 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Chicago Bulls' AND season_id = '22001';	41.0	game	game	game
What is the average number of fg_pct in away games by the Miami Heat?	SELECT AVG(fg_pct_away) FROM game WHERE team_name_away = 'Miami Heat';	0.4499279161205765	game	game	game
How many away games did the Chicago Bulls play in the 2002 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Chicago Bulls' AND season_id = '22002';	41.0	game	game	game
What is the highest combined reb in any game involving the Los Angeles Clippers?	SELECT MAX(reb_home + reb_away) FROM game WHERE team_name_home = 'Los Angeles Clippers' OR team_name_away = 'Los Angeles Clippers';	134.0	game	game	game
How many home games did the Los Angeles Lakers play in the 2005 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Los Angeles Lakers' AND season_id = '22005';	41.0	game	game	game
How many home games did the Los Angeles Lakers play in the 2003 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Los Angeles Lakers' AND season_id = '22003';	41.0	game	game	game
In which season did the Golden State Warriors have the highest average ast at home?	SELECT season_id, AVG(ast_home) as avg_stat FROM game WHERE team_name_home = 'Golden State Warriors' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	2016.0	game	game	game
What is the average number of reb in away games by the Boston Celtics?	SELECT AVG(reb_away) FROM game WHERE team_name_away = 'Boston Celtics';	42.40882509303562	game	game	game
In which season did the Los Angeles Clippers have the highest average ast at home?	SELECT season_id, AVG(ast_home) as avg_stat FROM game WHERE team_name_home = 'Los Angeles Clippers' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	21988.0	game	game	game
What is the highest combined ast in any game involving the Houston Rockets?	SELECT MAX(ast_home + ast_away) FROM game WHERE team_name_home = 'Houston Rockets' OR team_name_away = 'Houston Rockets';	81.0	game	game	game
What is the highest combined ast in any game involving the Chicago Bulls?	SELECT MAX(ast_home + ast_away) FROM game WHERE team_name_home = 'Chicago Bulls' OR team_name_away = 'Chicago Bulls';	75.0	game	game	game
In which season did the Portland San Antonio Spurs have the highest average ast at home?	SELECT season_id, AVG(ast_home) as avg_stat FROM game WHERE team_name_home = 'San Antonio Spurs' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	41982.0	game	game	game
What is the average number of ft_pct in away games by the Los Angeles Clippers?	SELECT AVG(ft_pct_away) FROM game WHERE team_name_away = 'Los Angeles Clippers';	0.7375894405043332	game	game	game
How many away games did the Golden State Warriors play in the 2009 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Golden State Warriors' AND season_id = '22009';	41.0	game	game	game
How many away games did the Boston Celtics play in the 2009 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Boston Celtics' AND season_id = '22009';	41.0	game	game	game
How many away games did the Boston Celtics play in the 2022 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Boston Celtics' AND season_id = '22022';	41.0	game	game	game
What is the highest combined tov in any game involving the Golden State Warriors?	SELECT MAX(tov_home + tov_away) FROM game WHERE team_name_home = 'Golden State Warriors' OR team_name_away = 'Golden State Warriors';	60.0	game	game	game
What is the highest combined ft_pct in any game involving the Los Angeles Lakers?	SELECT MAX(ft_pct_home + ft_pct_away) FROM game WHERE team_name_home = 'Los Angeles Lakers' OR team_name_away = 'Los Angeles Lakers';	1.957	game	game	game
What is the highest combined fg_pct in any game involving the Golden State Warriors?	SELECT MAX(fg_pct_home + fg_pct_away) FROM game WHERE team_name_home = 'Golden State Warriors' OR team_name_away = 'Golden State Warriors';	1.196	game	game	game
What is the average number of pts in home games by the Boston Celtics?	SELECT AVG(pts_home) FROM game WHERE team_name_home = 'Boston Celtics';	106.27848911651728	game	game	game
What is the highest combined fg_pct in any game involving the Los Angeles Clippers?	SELECT MAX(fg_pct_home + fg_pct_away) FROM game WHERE team_name_home = 'Los Angeles Clippers' OR team_name_away = 'Los Angeles Clippers';	1.257	game	game	game
How many away games did the Miami Heat play in the 2019 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Miami Heat' AND season_id = '22019';	37.0	game	game	game
How many home games did the Orlando Magic play in the 2013 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Orlando Magic' AND season_id = '22013';	41.0	game	game	game
How many home games did the Milwaukee Bucks play in the 2011 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Milwaukee Bucks' AND season_id = '22011';	33.0	game	game	game
How many away games did the Boston Celtics play in the 2002 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Boston Celtics' AND season_id = '22002';	41.0	game	game	game
How many home games did the Golden State Warriors play in the 2001 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Golden State Warriors' AND season_id = '22001';	41.0	game	game	game
How many home games did the Golden State Warriors play in the 2013 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Golden State Warriors' AND season_id = '22013';	41.0	game	game	game
What is the highest combined ft_pct in any game involving the New York Knicks?	SELECT MAX(ft_pct_home + ft_pct_away) FROM game WHERE team_name_home = 'New York Knicks' OR team_name_away = 'New York Knicks';	9.167	game	game	game
What is the average number of pts in home games by the Milwaukee Bucks?	SELECT AVG(pts_home) FROM game WHERE team_name_home = 'Milwaukee Bucks';	106.24456280514868	game	game	game
How many home games did the Miami Heat play in the 2019 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Miami Heat' AND season_id = '22019';	36.0	game	game	game
What is the average number of pts in away games by the New York Knicks?	SELECT AVG(pts_away) FROM game WHERE team_name_away = 'New York Knicks';	99.22237288135594	game	game	game
What is the average number of pts in away games by the Chicago Bulls?	SELECT AVG(pts_away) FROM game WHERE team_name_away = 'Chicago Bulls';	100.94640522875817	game	game	game
What is the average number of fg_pct in away games by the New York Knicks?	SELECT AVG(fg_pct_away) FROM game WHERE team_name_away = 'New York Knicks';	0.4504453081621318	game	game	game
In which season did the Boston Celtics have the highest average tov at home?	SELECT season_id, AVG(tov_home) as avg_stat FROM game WHERE team_name_home = 'Boston Celtics' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	2005.0	game	game	game
In which season did the Orlando Magic have the highest average tov at home?	SELECT season_id, AVG(tov_home) as avg_stat FROM game WHERE team_name_home = 'Orlando Magic' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	2011.0	game	game	game
What is the average number of ft_pct in away games by the San Antonio Spurs?	SELECT AVG(ft_pct_away) FROM game WHERE team_name_away = 'San Antonio Spurs';	0.7538615611192923	game	game	game
In which season did the Boston Celtics have the highest average fg_pct at home?	SELECT season_id, AVG(fg_pct_home) as avg_stat FROM game WHERE team_name_home = 'Boston Celtics' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	41989.0	game	game	game
How many home games did the Chicago Bulls play in the 2020 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Chicago Bulls' AND season_id = '22020';	36.0	game	game	game
What is the average number of tov in home games by the Chicago Bulls?	SELECT AVG(tov_home) FROM game WHERE team_name_home = 'Chicago Bulls';	14.512123004139562	game	game	game
How many away games did the Los Angeles Lakers play in the 2021 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Los Angeles Lakers' AND season_id = '22021';	41.0	game	game	game
In which season did the Milwaukee Bucks have the highest average pts at home?	SELECT season_id, AVG(pts_home) as avg_stat FROM game WHERE team_name_home = 'Milwaukee Bucks' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	42022.0	game	game	game
What is the average number of ft_pct in away games by the Chicago Bulls?	SELECT AVG(ft_pct_away) FROM game WHERE team_name_away = 'Chicago Bulls';	0.7549616557734183	game	game	game
How many home games did the Golden State Warriors play in the 2021 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Golden State Warriors' AND season_id = '22021';	41.0	game	game	game
How many away games did the Los Angeles Lakers play in the 2022 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Los Angeles Lakers' AND season_id = '22022';	41.0	game	game	game
What is the highest combined reb in any game involving the Boston Celtics?	SELECT MAX(reb_home + reb_away) FROM game WHERE team_name_home = 'Boston Celtics' OR team_name_away = 'Boston Celtics';	155.0	game	game	game
What is the average number of pts in home games by the Golden State Warriors?	SELECT AVG(pts_home) FROM game WHERE team_name_home = 'Golden State Warriors';	109.409324009324	game	game	game
In which season did the Miami Heat have the highest average ast at home?	SELECT season_id, AVG(ast_home) as avg_stat FROM game WHERE team_name_home = 'Miami Heat' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	2019.0	game	game	game
How many away games did the Los Angeles Lakers play in the 2018 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Los Angeles Lakers' AND season_id = '22018';	41.0	game	game	game
How many away games did the Miami Heat play in the 2016 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Miami Heat' AND season_id = '22016';	41.0	game	game	game
What is the highest combined reb in any game involving the San Antonio Spurs?	SELECT MAX(reb_home + reb_away) FROM game WHERE team_name_home = 'San Antonio Spurs' OR team_name_away = 'San Antonio Spurs';	134.0	game	game	game
How many away games did the Miami Heat play in the 2017 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Miami Heat' AND season_id = '22017';	41.0	game	game	game
How many away games did the San Antonio Spurs play in the 2018 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'San Antonio Spurs' AND season_id = '22018';	41.0	game	game	game
What is the average number of tov in away games by the Golden State Warriors?	SELECT AVG(tov_away) FROM game WHERE team_name_away = 'Golden State Warriors';	15.801587301587302	game	game	game
What is the average number of ast in away games by the San Antonio Spurs?	SELECT AVG(ast_away) FROM game WHERE team_name_away = 'San Antonio Spurs';	22.72059635560464	game	game	game
How many home games did the Miami Heat play in the 2021 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Miami Heat' AND season_id = '22021';	41.0	game	game	game
How many home games did the Boston Celtics play in the 2019 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Boston Celtics' AND season_id = '22019';	36.0	game	game	game
How many home games did the Miami Heat play in the 2020 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Miami Heat' AND season_id = '22020';	36.0	game	game	game
What is the highest combined tov in any game involving the San Antonio Spurs?	SELECT MAX(tov_home + tov_away) FROM game WHERE team_name_home = 'San Antonio Spurs' OR team_name_away = 'San Antonio Spurs';	60.0	game	game	game
How many home games did the San Antonio Spurs Lakers play in the 2018 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'San Antonio Spurs' AND season_id = '22018';	41.0	game	game	game
What is the average number of ast in home games by the Miami Heat?	SELECT AVG(ast_home) FROM game WHERE team_name_home = 'Miami Heat';	21.454368932038836	game	game	game
What is the average number of tov in home games by the San Antonio Spurs?	SELECT AVG(tov_home) FROM game WHERE team_name_home = 'San Antonio Spurs';	14.41725768321513	game	game	game
How many away games did the Miami Heat play in the 2014 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Miami Heat' AND season_id = '22015';	41.0	game	game	game
What is the average number of ft_pct in away games by the Milwaukee Bucks?	SELECT AVG(ft_pct_away) FROM game WHERE team_name_away = 'Milwaukee Bucks';	0.7545688967656173	game	game	game
What is the average number of pts in away games by the Houston Rockets?	SELECT AVG(pts_away) FROM game WHERE team_name_away = 'Houston Rockets';	102.85476410730804	game	game	game
What is the average number of pts in away games by the Orlando Magic?	SELECT AVG(pts_away) FROM game WHERE team_name_away = 'Orlando Magic';	99.26172148355494	game	game	game
What is the highest combined ast in any game involving the Orlando Magic?	SELECT MAX(ast_home + ast_away) FROM game WHERE team_name_home = 'Orlando Magic' OR team_name_away = 'Orlando Magic';	74.0	game	game	game
What is the average number of pts in home games by the Orlando Magic?	SELECT AVG(pts_home) FROM game WHERE team_name_home = 'Orlando Magic';	102.53608969866852	game	game	game
What is the highest combined ast in any game involving the San Antonio Spurs?	SELECT MAX(ast_home + ast_away) FROM game WHERE team_name_home = 'San Antonio Spurs' OR team_name_away = 'San Antonio Spurs';	88.0	game	game	game
What is the average number of ft_pct in away games by the Boston Celtics?	SELECT AVG(ft_pct_away) FROM game WHERE team_name_away = 'Boston Celtics';	0.7614488017429173	game	game	game
How many home games did the Orlando Magic play in the 2019 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Orlando Magic' AND season_id = '22019';	35.0	game	game	game
What is the highest combined reb in any game involving the Orlando Magic?	SELECT MAX(reb_home + reb_away) FROM game WHERE team_name_home = 'Orlando Magic' OR team_name_away = 'Orlando Magic';	128.0	game	game	game
What is the highest combined tov in any game involving the Los Angeles Lakers?	SELECT MAX(tov_home + tov_away) FROM game WHERE team_name_home = 'Los Angeles Lakers' OR team_name_away = 'Los Angeles Lakers';	66.0	game	game	game
What is the average number of reb in home games by the Portland Trail Blazers?	SELECT AVG(reb_home) FROM game WHERE team_name_home = 'Portland Trail Blazers';	43.965986394557824	game	game	game
In which season did the Portland Trail Blazers have the highest average pts at home?	SELECT season_id, AVG(pts_home) as avg_stat FROM game WHERE team_name_home = 'Portland Trail Blazers' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	21986.0	game	game	game
How many home games did the Portland Trail Blazers play in the 2022 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Portland Trail Blazers' AND season_id = '22022';	41.0	game	game	game
What is the average number of fg_pct in home games by the Los Angeles Lakers?	SELECT AVG(fg_pct_home) FROM game WHERE team_name_home = 'Los Angeles Lakers';	0.4782432016418667	game	game	game
In which season did the Chicago Bulls have the highest average fg_pct at home?	SELECT season_id, AVG(fg_pct_home) as avg_stat FROM game WHERE team_name_home = 'Chicago Bulls' GROUP BY season_id ORDER BY avg_stat DESC LIMIT 1;	12022.0	game	game	game
What is the most points the Los Angeles Lakers have scored at home?	SELECT MAX(pts_home)  FROM game  WHERE team_name_home = 'Los Angeles Lakers';	162.0	game	game	game
How many home games did the Boston Celtics win in the 1946 season?	SELECT COUNT(*) as wins  FROM game  WHERE team_name_home = 'Boston Celtics' AND wl_home = 'W' AND season_id = '21946';	14.0	game	game	game
What is the total number of assists by the Chicago Bulls at home?	SELECT SUM(ast_home) as total_assists  FROM game  WHERE team_name_home = 'Chicago Bulls';	45090.0	game	game	game
